Time	Channel B
(us)	(V)

12.39999992	-0.25818660
12.43999992	-0.25818660
12.47999992	-0.25818660
12.51999992	-0.25818660
12.55999992	-0.25818660
12.59999992	-0.25818660
12.63999992	-0.25818660
12.67999992	-0.08239998
12.71999992	-0.08239998
12.75999992	-0.25818660
12.79999992	-0.08239998
12.83999992	-0.08239998
12.87999992	-0.08239998
12.91999992	-0.08239998
12.95999992	-0.08239998
12.99999992	-0.08239998
13.03999992	0.09277627
13.07999992	0.09277627
13.11999992	0.09277627
13.15999992	0.09277627
13.19999992	0.09277627
13.23999992	0.09277627
13.27999992	0.09277627
13.31999992	0.26795250
13.35999992	0.26795250
13.39999992	0.26795250
13.43999992	0.26795250
13.47999992	0.26795250
13.51999992	0.26795250
13.55999992	0.26795250
13.59999992	0.44373910
13.63999992	0.44373910
13.67999992	0.44373910
13.71999992	0.44373910
13.75999992	0.61891540
13.79999992	0.44373910
13.83999992	0.61891540
13.87999992	0.61891540
13.91999992	0.61891540
13.95999992	0.61891540
13.99999991	0.61891540
14.03999991	0.61891540
14.07999991	0.61891540
14.11999991	0.61891540
14.15999991	0.61891540
14.19999991	0.79470200
14.23999991	0.61891540
14.27999991	0.61891540
14.31999991	0.79470200
14.35999991	0.61891540
14.39999991	0.79470200
14.43999991	0.79470200
14.47999991	0.79470200
14.51999991	0.79470200
14.55999991	0.79470200
14.59999991	0.79470200
14.63999991	0.79470200
14.67999991	0.96987830
14.71999991	0.79470200
14.75999991	0.79470200
14.79999991	0.79470200
14.83999991	0.79470200
14.87999991	0.96987830
14.91999991	0.79470200
14.95999991	0.96987830
14.99999991	0.79470200
15.03999991	0.96987830
15.07999991	0.96987830
15.11999991	0.96987830
15.15999991	0.96987830
15.19999991	0.96987830
15.23999991	0.96987830
15.27999991	0.96987830
15.31999991	0.96987830
15.35999991	0.96987830
15.39999991	0.96987830
15.43999991	0.96987830
15.47999991	0.96987830
15.51999991	0.96987830
15.55999991	0.96987830
15.59999991	0.96987830
15.63999990	0.96987830
15.67999990	0.96987830
15.71999990	1.14566500
15.75999990	1.14566500
15.79999990	1.14566500
15.83999990	1.14566500
15.87999990	1.14566500
15.91999990	1.14566500
15.95999990	1.14566500
15.99999990	1.14566500
16.03999990	1.14566500
16.07999990	1.14566500
16.11999990	1.32145100
16.15999990	1.14566500
16.19999990	1.32145100
16.23999990	1.14566500
16.27999990	1.32145100
16.31999990	1.32145100
16.35999990	1.32145100
16.39999990	1.32145100
16.43999990	1.32145100
16.47999990	1.32145100
16.51999990	1.32145100
16.55999990	1.32145100
16.59999990	1.49662800
16.63999990	1.32145100
16.67999990	1.49662800
16.71999990	1.49662800
16.75999990	1.49662800
16.79999990	1.49662800
16.83999990	1.67241400
16.87999990	1.49662800
16.91999990	1.67241400
16.95999990	1.67241400
16.99999990	1.67241400
17.03999990	1.67241400
17.07999990	1.67241400
17.11999990	1.67241400
17.15999990	1.67241400
17.19999990	1.67241400
17.23999990	1.67241400
17.27999989	1.67241400
17.31999989	1.84759100
17.35999989	1.67241400
17.39999989	1.84759100
17.43999989	1.84759100
17.47999989	1.84759100
17.51999989	1.84759100
17.55999989	1.84759100
17.59999989	1.84759100
17.63999989	2.02337700
17.67999989	2.02337700
17.71999989	1.84759100
17.75999989	2.02337700
17.79999989	2.02337700
17.83999989	2.02337700
17.87999989	2.02337700
17.91999989	2.02337700
17.95999989	2.02337700
17.99999989	2.02337700
18.03999989	2.02337700
18.07999989	2.02337700
18.11999989	2.02337700
18.15999989	2.19916400
18.19999989	2.19916400
18.23999989	2.19916400
18.27999989	2.19916400
18.31999989	2.19916400
18.35999989	2.19916400
18.39999989	2.19916400
18.43999989	2.19916400
18.47999989	2.19916400
18.51999989	2.19916400
