time	V(n002)	V(n004)
8.392914762791760e-001	4.986589e+000	5.435069e-003
8.432032353897119e-001	4.987052e+000	5.437461e-003
8.471149945002479e-001	4.987470e+000	5.445252e-003
8.510267536107837e-001	4.987843e+000	5.458443e-003
8.549385127213197e-001	4.988171e+000	5.477032e-003
8.588502718318556e-001	4.988454e+000	5.501021e-003
8.608033968318556e-001	4.988409e+000	5.602167e-003
8.627565218318556e-001	4.987579e+000	6.095835e-003
8.647096468318556e-001	4.985429e+000	7.254460e-003
8.648011995662306e-001	4.984981e+000	7.486995e-003
8.649232698787306e-001	4.983930e+000	8.032601e-003
8.651674105037306e-001	4.980765e+000	9.685014e-003
8.652155626725608e-001	4.979448e+000	1.038853e-002
8.653118670102213e-001	4.975186e+000	1.268975e-002
8.653163336800978e-001	4.974870e+000	1.286368e-002
8.653252670198505e-001	4.973879e+000	1.341861e-002
8.653431336993560e-001	4.971315e+000	1.486859e-002
8.653464840733299e-001	4.970536e+000	1.531800e-002
8.653531848212778e-001	4.968235e+000	1.666285e-002
8.653542504483847e-001	4.967638e+000	1.701806e-002
8.653565815076808e-001	4.965729e+000	1.816713e-002
8.653568479144576e-001	4.965372e+000	1.838588e-002
8.653573807280109e-001	4.964329e+000	1.903295e-002
8.653584463551178e-001	4.961331e+000	2.091618e-002
8.653585891559636e-001	4.960685e+000	2.133091e-002
8.653588747576553e-001	4.958877e+000	2.250733e-002
8.653589461580782e-001	4.958295e+000	2.289106e-002
8.653590889589240e-001	4.956559e+000	2.406763e-002
8.653593745606156e-001	4.951094e+000	2.790306e-002
8.653595395877316e-001	4.946160e+000	3.148406e-002
8.653595636839288e-001	4.945046e+000	3.232283e-002
8.653596118763229e-001	4.941722e+000	3.493776e-002
8.653597082611113e-001	4.931449e+000	4.347715e-002
8.653597829078810e-001	4.917578e+000	5.583106e-002
8.653598324290956e-001	4.900977e+000	7.158430e-002
8.653598692116399e-001	4.879705e+000	9.272841e-002
8.653599001556214e-001	4.849663e+000	1.234386e-001
8.653599286803140e-001	4.802449e+000	1.722036e-001
8.653599578164634e-001	4.719834e+000	2.573443e-001
8.653599893674665e-001	4.574226e+000	4.063666e-001
8.653600254245786e-001	4.332535e+000	6.521726e-001
8.653600698279074e-001	3.959253e+000	1.030441e+000
8.653601236156407e-001	3.458457e+000	1.537324e+000
8.653601800773991e-001	2.914875e+000	2.087218e+000
8.653602800867541e-001	1.946898e+000	3.065640e+000
8.653604166276108e-001	6.319439e-001	4.394485e+000
8.653604273587634e-001	5.318506e-001	4.496289e+000
8.653604488210688e-001	3.394921e-001	4.693660e+000
8.653604541866451e-001	2.938481e-001	4.740907e+000
8.653604649177977e-001	2.097207e-001	4.828758e+000
8.653604733898370e-001	1.505972e-001	4.890233e+000
8.653604799806161e-001	1.132826e-001	4.927469e+000
8.653604874828436e-001	8.209240e-002	4.955411e+000
8.653604955330176e-001	5.881961e-002	4.973022e+000
8.653604997676297e-001	5.053858e-002	4.978235e+000
8.653605044514500e-001	4.421224e-002	4.981666e+000
8.653605094555530e-001	3.920092e-002	4.984178e+000
8.653605152371232e-001	3.497280e-002	4.986159e+000
8.653605218304745e-001	3.153302e-002	4.987691e+000
8.653605315981052e-001	2.795157e-002	4.989223e+000
8.653605404483170e-001	2.571632e-002	4.990150e+000
8.653605550530936e-001	2.324121e-002	4.991152e+000
8.653605686185681e-001	2.169643e-002	4.991767e+000
8.653605927107742e-001	1.993233e-002	4.992459e+000
8.653606160004393e-001	1.882436e-002	4.992890e+000
8.653606538630807e-001	1.770962e-002	4.993320e+000
8.653606941521013e-001	1.696685e-002	4.993604e+000
8.653607606892105e-001	1.623411e-002	4.993884e+000
8.653608332044009e-001	1.575858e-002	4.994065e+000
8.653609594321469e-001	1.529853e-002	4.994240e+000
8.653611107841956e-001	1.500188e-002	4.994353e+000
8.653614134882931e-001	1.473299e-002	4.994454e+000
8.653618895735965e-001	1.457059e-002	4.994516e+000
8.653628417442034e-001	1.448694e-002	4.994547e+000
8.692679398105591e-001	1.392829e-002	4.994558e+000
8.731730378769148e-001	1.341585e-002	4.994564e+000
8.770781359432704e-001	1.294962e-002	4.994563e+000
8.809832340096262e-001	1.252961e-002	4.994556e+000
8.848883320759818e-001	1.215582e-002	4.994543e+000
8.887934301423376e-001	1.182823e-002	4.994525e+000
8.926985282086932e-001	1.154686e-002	4.994500e+000
8.946516532086932e-001	1.158649e-002	4.994402e+000
8.966047782086932e-001	1.236187e-002	4.993936e+000
8.985579032086932e-001	1.436115e-002	4.992855e+000
8.985884207868182e-001	1.445172e-002	4.992807e+000
8.986494559430682e-001	1.476179e-002	4.992646e+000
8.987715262555682e-001	1.565857e-002	4.992181e+000
8.990156668805682e-001	1.831205e-002	4.990800e+000
8.990767020368182e-001	1.970072e-002	4.990063e+000
8.991987723493182e-001	2.420450e-002	4.987645e+000
8.992045336505812e-001	2.455936e-002	4.987451e+000
8.992160562531071e-001	2.573735e-002	4.986794e+000
8.992200188108855e-001	2.587276e-002	4.986730e+000
8.992239813686640e-001	2.616590e-002	4.986572e+000
8.992279439264425e-001	2.661676e-002	4.986320e+000
8.992319064842210e-001	2.722533e-002	4.985974e+000
8.992358690419995e-001	2.799163e-002	4.985535e+000
8.992398315997779e-001	2.891564e-002	4.985001e+000
8.992437941575564e-001	2.999737e-002	4.984374e+000
8.992486382343538e-001	3.190818e-002	4.983252e+000
8.992497032805218e-001	3.258233e-002	4.982849e+000
8.992518333728578e-001	3.457141e-002	4.981648e+000
8.992522712328817e-001	3.522824e-002	4.981244e+000
8.992531469529295e-001	3.715128e-002	4.980048e+000
8.992533658829414e-001	3.787943e-002	4.979587e+000
8.992538037429653e-001	3.990628e-002	4.978288e+000
8.992539132079712e-001	4.060979e-002	4.977829e+000
8.992541321379831e-001	4.262963e-002	4.976485e+000
8.992543564251700e-001	4.539926e-002	4.974611e+000
8.992544111103410e-001	4.637016e-002	4.973937e+000
8.992545204806829e-001	4.914298e-002	4.971958e+000
8.992546508359265e-001	5.397587e-002	4.968380e+000
8.992547485836058e-001	5.961402e-002	4.964015e+000
8.992548092878243e-001	6.521408e-002	4.959452e+000
8.992548680912488e-001	7.371787e-002	4.952147e+000
8.992549150942353e-001	8.444186e-002	4.942410e+000
8.992549555509611e-001	9.935333e-002	4.928143e+000
8.992549915610948e-001	1.210773e-001	4.906478e+000
8.992550237937532e-001	1.535040e-001	4.873290e+000
8.992550528352373e-001	2.038886e-001	4.821245e+000
8.992550824289057e-001	2.921746e-001	4.730315e+000
8.992551140531551e-001	4.449066e-001	4.574125e+000
8.992551513519014e-001	7.024224e-001	4.312354e+000
8.992551948582531e-001	1.073270e+000	3.936623e+000
8.992552482106916e-001	1.572615e+000	3.431232e+000
8.992553061654525e-001	2.131187e+000	2.866215e+000
8.992554118822329e-001	3.157275e+000	1.829259e+000
8.992554383114280e-001	3.413559e+000	1.570519e+000
8.992554911698182e-001	3.920525e+000	1.058034e+000
8.992555630195428e-001	4.597454e+000	3.712019e-001
8.992555684001504e-001	4.645607e+000	3.218170e-001
8.992555791613657e-001	4.734612e+000	2.293189e-001
8.992555914209667e-001	4.826770e+000	1.332209e-001
8.992555991282146e-001	4.875266e+000	8.369619e-002
8.992556058216898e-001	4.906820e+000	5.400565e-002
8.992556141525512e-001	4.935231e+000	3.090152e-002
8.992556173060037e-001	4.942874e+000	2.562600e-002
8.992556217061980e-001	4.950346e+000	2.126350e-002
8.992556268471681e-001	4.956872e+000	1.778333e-002
8.992556329973432e-001	4.962531e+000	1.500227e-002
8.992556386660295e-001	4.966260e+000	1.328299e-002
8.992556463148334e-001	4.969824e+000	1.172034e-002
8.992556543654945e-001	4.972487e+000	1.059170e-002
8.992556652738732e-001	4.974998e+000	9.558296e-003
8.992556770045026e-001	4.976853e+000	8.809566e-003
8.992556947901660e-001	4.978739e+000	8.061348e-003
8.992557134254074e-001	4.980044e+000	7.549741e-003
8.992557441861263e-001	4.981415e+000	7.017951e-003
8.992557756820544e-001	4.982307e+000	6.674125e-003
8.992558268943456e-001	4.983189e+000	6.336186e-003
8.992558823389911e-001	4.983771e+000	6.113708e-003
8.992559767582962e-001	4.984345e+000	5.895183e-003
8.992560795236202e-001	4.984704e+000	5.759058e-003
8.992562686709227e-001	4.985042e+000	5.630617e-003
8.992565481761193e-001	4.985277e+000	5.541530e-003
8.992571071865128e-001	4.985441e+000	5.479735e-003
8.992603278985455e-001	4.985540e+000	5.442409e-003
9.029220248221083e-001	4.986046e+000	5.440494e-003
9.065837217456709e-001	4.986518e+000	5.440508e-003
9.102454186692337e-001	4.986956e+000	5.442451e-003
9.139071155927965e-001	4.987361e+000	5.446322e-003
9.175688125163592e-001	4.987731e+000	5.452121e-003
9.212305094399219e-001	4.988068e+000	5.459849e-003
9.248922063634847e-001	4.988371e+000	5.469506e-003
9.268453313634847e-001	4.988460e+000	5.506902e-003
9.287984563634847e-001	4.988386e+000	5.621642e-003
9.307515813634847e-001	4.987234e+000	6.279614e-003
9.327047063634847e-001	4.984169e+000	7.907834e-003
9.327352239416097e-001	4.983998e+000	7.996360e-003
9.327962590978597e-001	4.983346e+000	8.333846e-003
9.329183294103597e-001	4.981711e+000	9.186471e-003
9.329488469884847e-001	4.981140e+000	9.486339e-003
9.330098821447347e-001	4.978864e+000	1.071674e-002
9.331319524572347e-001	4.971605e+000	1.470172e-002
9.331340291830326e-001	4.971321e+000	1.486350e-002
9.331392209975273e-001	4.970119e+000	1.555670e-002
9.331412977233252e-001	4.969335e+000	1.601649e-002
9.331454511749210e-001	4.967270e+000	1.723761e-002
9.331461582463595e-001	4.966723e+000	1.756648e-002
9.331475723892364e-001	4.965159e+000	1.851648e-002
9.331479259249557e-001	4.964585e+000	1.886964e-002
9.331486329963942e-001	4.963019e+000	1.984433e-002
9.331488097642537e-001	4.962482e+000	2.018267e-002
