Time	Channel A
(us)	(V)

12.55999992	1.21555200
12.59999992	1.21555200
12.63999992	1.12674300
12.67999992	1.12674300
12.71999992	1.12674300
12.75999992	1.12674300
12.79999992	1.03824000
12.83999992	1.03824000
12.87999992	1.03824000
12.91999992	1.03824000
12.95999992	1.03824000
12.99999992	1.03824000
13.03999992	1.03824000
13.07999992	0.94943080
13.11999992	1.03824000
13.15999992	0.94943080
13.19999992	0.94943080
13.23999992	0.86092720
13.27999992	0.94943080
13.31999992	0.86092720
13.35999992	0.86092720
13.39999992	0.86092720
13.43999992	0.86092720
13.47999992	0.86092720
13.51999992	0.86092720
13.55999992	0.77211830
13.59999992	0.77211830
13.63999992	0.77211830
13.67999992	0.77211830
13.71999992	0.77211830
13.75999992	0.68361460
13.79999992	0.68361460
13.83999992	0.68361460
13.87999992	0.68361460
13.91999992	0.68361460
13.95999992	0.68361460
13.99999991	0.68361460
14.03999991	0.59480580
14.07999991	0.59480580
14.11999991	0.59480580
14.15999991	0.59480580
14.19999991	0.59480580
14.23999991	0.50630210
14.27999991	0.50630210
14.31999991	0.50630210
14.35999991	0.50630210
14.39999991	0.50630210
14.43999991	0.50630210
14.47999991	0.50630210
14.51999991	0.50630210
14.55999991	0.50630210
14.59999991	0.41749320
14.63999991	0.41749320
14.67999991	0.41749320
14.71999991	0.41749320
14.75999991	0.32898950
14.79999991	0.32898950
14.83999991	0.32898950
14.87999991	0.32898950
14.91999991	0.32898950
14.95999991	0.32898950
14.99999991	0.32898950
15.03999991	0.24048580
15.07999991	0.24048580
15.11999991	0.24048580
15.15999991	0.24048580
15.19999991	0.24048580
15.23999991	0.24048580
15.27999991	0.15167700
15.31999991	0.15167700
15.35999991	0.15167700
15.39999991	0.15167700
15.43999991	0.15167700
15.47999991	0.15167700
15.51999991	0.15167700
15.55999991	0.15167700
15.59999991	0.06317332
15.63999990	0.15167700
15.67999990	0.06317332
15.71999990	0.06317332
15.75999990	0.06317332
15.79999990	0.06317332
15.83999990	0.06317332
15.87999990	0.06317332
15.91999990	-0.02563555
15.95999990	-0.02563555
15.99999990	0.06317332
16.03999990	-0.02563555
16.07999990	-0.02563555
16.11999990	-0.02563555
16.15999990	-0.02563555
16.19999990	-0.02563555
16.23999990	-0.02563555
16.27999990	-0.02563555
16.31999990	-0.02563555
16.35999990	-0.02563555
16.39999990	-0.02563555
16.43999990	-0.02563555
16.47999990	-0.02563555
16.51999990	-0.02563555
16.55999990	-0.02563555
16.59999990	-0.02563555
16.63999990	-0.02563555
16.67999990	-0.02563555
16.71999990	-0.02563555
16.75999990	-0.02563555
16.79999990	-0.02563555
16.83999990	-0.02563555
16.87999990	-0.02563555
16.91999990	-0.02563555
16.95999990	0.06317332
16.99999990	-0.02563555
17.03999990	-0.02563555
17.07999990	-0.02563555
17.11999990	-0.02563555
17.15999990	-0.02563555
17.19999990	-0.02563555
17.23999990	0.06317332
17.27999989	0.06317332
17.31999989	0.06317332
17.35999989	0.06317332
17.39999989	-0.02563555
17.43999989	0.06317332
17.47999989	0.06317332
17.51999989	0.06317332
17.55999989	0.06317332
17.59999989	0.06317332
17.63999989	0.15167700
17.67999989	0.15167700
17.71999989	0.15167700
17.75999989	0.15167700
17.79999989	0.15167700
17.83999989	0.15167700
17.87999989	0.15167700
17.91999989	0.15167700
17.95999989	0.24048580
17.99999989	0.15167700
18.03999989	0.15167700
18.07999989	0.24048580
18.11999989	0.24048580
18.15999989	0.15167700
18.19999989	0.24048580
18.23999989	0.24048580
18.27999989	0.24048580
18.31999989	0.24048580
18.35999989	0.24048580
18.39999989	0.24048580
18.43999989	0.24048580
18.47999989	0.24048580
18.51999989	0.24048580
18.55999989	0.24048580
18.59999989	0.24048580
18.63999989	0.24048580
18.67999989	0.24048580
18.71999989	0.24048580
18.75999989	0.24048580
18.79999989	0.24048580
18.83999989	0.32898950
18.87999989	0.24048580
18.91999989	0.24048580
18.95999988	0.32898950
18.99999988	0.24048580
19.03999988	0.32898950
19.07999988	0.32898950
19.11999988	0.32898950
19.15999988	0.32898950
19.19999988	0.32898950
19.23999988	0.32898950
19.27999988	0.32898950
19.31999988	0.32898950
19.35999988	0.32898950
19.39999988	0.32898950
19.43999988	0.32898950
19.47999988	0.41749320
19.51999988	0.41749320
19.55999988	0.32898950
19.59999988	0.41749320
19.63999988	0.41749320
19.67999988	0.41749320
19.71999988	0.41749320
19.75999988	0.50630210
19.79999988	0.41749320
19.83999988	0.50630210
19.87999988	0.41749320
19.91999988	0.50630210
19.95999988	0.50630210
19.99999988	0.50630210
20.03999988	0.50630210
20.07999988	0.50630210
20.11999988	0.50630210
20.15999988	0.50630210
20.19999988	0.59480580
20.23999988	0.59480580
20.27999988	0.59480580
20.31999988	0.59480580
20.35999988	0.59480580
20.39999988	0.59480580
20.43999988	0.68361460
20.47999988	0.68361460
20.51999988	0.68361460
20.55999988	0.68361460
20.59999987	0.68361460
20.63999987	0.68361460
20.67999987	0.68361460
20.71999987	0.68361460
20.75999987	0.68361460
20.79999987	0.77211830
20.83999987	0.86092720
20.87999987	0.86092720
20.91999987	0.86092720
20.95999987	0.86092720
20.99999987	0.86092720
21.03999987	0.86092720
21.07999987	0.86092720
21.11999987	0.86092720
21.15999987	0.86092720
21.19999987	0.94943080
21.23999987	0.94943080
21.27999987	0.94943080
21.31999987	1.03824000
21.35999987	0.94943080
21.39999987	1.03824000
21.43999987	1.03824000
21.47999987	1.03824000
21.51999987	1.03824000
21.55999987	1.03824000
21.59999987	1.03824000
21.63999987	1.12674300
21.67999987	1.12674300
21.71999987	1.12674300
21.75999987	1.12674300
21.79999987	1.21555200
21.83999987	1.21555200
21.87999987	1.21555200
21.91999987	1.21555200
21.95999987	1.21555200
21.99999987	1.21555200
22.03999987	1.21555200
22.07999987	1.30405600
22.11999987	1.30405600
22.15999987	1.30405600
22.19999987	1.30405600
22.23999986	1.30405600
22.27999986	1.30405600
22.31999986	1.30405600
22.35999986	1.30405600
22.39999986	1.39286500
22.43999986	1.39286500
22.47999986	1.39286500
22.51999986	1.39286500
22.55999986	1.39286500
22.59999986	1.39286500
22.63999986	1.48136800
22.67999986	1.48136800
22.71999986	1.57017700
22.75999986	1.48136800
22.79999986	1.57017700
22.83999986	1.57017700
22.87999986	1.57017700
22.91999986	1.57017700
22.95999986	1.57017700
22.99999986	1.65868100
23.03999986	1.57017700
23.07999986	1.65868100
23.11999986	1.65868100
23.15999986	1.65868100
23.19999986	1.65868100
23.23999986	1.65868100
23.27999986	1.65868100
23.31999986	1.65868100
23.35999986	1.65868100
23.39999986	1.74749000
23.43999986	1.74749000
23.47999986	1.74749000
23.51999986	1.74749000
23.55999986	1.74749000
23.59999986	1.83599400
23.63999986	1.83599400
23.67999986	1.83599400
23.71999986	1.83599400
23.75999986	1.74749000
23.79999986	1.83599400
23.83999986	1.92480200
23.87999985	1.92480200
23.91999985	1.92480200
23.95999985	1.92480200
23.99999985	1.92480200
24.03999985	1.92480200
24.07999985	1.92480200
24.11999985	1.92480200
24.15999985	2.01330600
24.19999985	2.01330600
24.23999985	2.01330600
24.27999985	2.01330600
24.31999985	2.01330600
24.35999985	2.01330600
24.39999985	2.01330600
24.43999985	2.10211500
24.47999985	2.10211500
24.51999985	2.10211500
24.55999985	2.10211500
24.59999985	2.10211500
24.63999985	2.19061900
24.67999985	2.19061900
24.71999985	2.27942800
24.75999985	2.27942800
24.79999985	2.27942800
24.83999985	2.27942800
24.87999985	2.36793100
24.91999985	2.45674000
24.95999985	2.45674000
24.99999985	2.54524400
25.03999985	2.63405300
25.07999985	2.63405300
25.11999985	2.72255600
25.15999985	2.72255600
25.19999985	2.81136500
25.23999985	2.89986900
25.27999985	2.98867800
25.31999985	2.98867800
25.35999985	3.07718100
25.39999985	3.16599000
25.43999985	3.16599000
25.47999985	3.25479900
25.51999984	3.34330300
25.55999984	3.34330300
25.59999984	3.43211200
25.63999984	3.52061500
25.67999984	3.52061500
25.71999984	3.60942400
25.75999984	3.69792800
25.79999984	3.69792800
25.83999984	3.78673700
25.87999984	3.87524000
25.91999984	3.87524000
25.95999984	3.96404900
25.99999984	3.96404900
26.03999984	4.05255300
26.07999984	4.05255300
26.11999984	4.14136200
26.15999984	4.14136200
26.19999984	4.22986600
26.23999984	4.22986600
26.27999984	4.31867400
26.31999984	4.40717800
26.35999984	4.40717800
26.39999984	4.40717800
26.43999984	4.49598700
26.47999984	4.58449000
26.51999984	4.58449000
26.55999984	4.58449000
26.59999984	4.76180300
26.63999984	4.76180300
26.67999984	4.85061200
26.71999984	4.85061200
26.75999984	4.93911600
26.79999984	4.93911600
26.83999984	5.02792500
26.87999984	5.11642800
26.91999984	5.11642800
26.95999984	5.20523700
26.99999984	5.29374100
27.03999984	5.29374100
27.07999984	5.29374100
27.11999984	5.38254900
27.15999983	5.47105300
27.19999983	5.55986200
27.23999983	5.55986200
27.27999983	5.55986200
27.31999983	5.64836500
27.35999983	5.64836500
27.39999983	5.73717500
27.43999983	5.82567800
27.47999983	5.82567800
27.51999983	5.82567800
27.55999983	5.82567800
27.59999983	5.91448700
27.63999983	5.91448700
27.67999983	5.91448700
27.71999983	5.91448700
27.75999983	5.91448700
27.79999983	6.00329600
27.83999983	5.91448700
27.87999983	6.00329600
27.91999983	6.00329600
27.95999983	6.00329600
27.99999983	6.00329600
28.03999983	6.00329600
28.07999983	6.00329600
28.11999983	6.00329600
28.15999983	5.91448700
28.19999983	5.91448700
28.23999983	5.91448700
28.27999983	5.91448700
28.31999983	5.82567800
28.35999983	5.82567800
28.39999983	5.82567800
28.43999983	5.82567800
28.47999983	5.73717500
28.51999983	5.64836500
28.55999983	5.64836500
28.59999983	5.64836500
28.63999983	5.55986200
28.67999983	5.47105300
28.71999983	5.47105300
28.75999983	5.47105300
28.79999982	5.38254900
28.83999982	5.29374100
28.87999982	5.29374100
28.91999982	5.20523700
28.95999982	5.11642800
28.99999982	5.11642800
29.03999982	5.02792500
29.07999982	5.02792500
29.11999982	4.93911600
29.15999982	4.93911600
29.19999982	4.85061200
29.23999982	4.76180300
29.27999982	4.76180300
29.31999982	4.67329900
29.35999982	4.58449000
29.39999982	4.58449000
29.43999982	4.49598700
29.47999982	4.49598700
29.51999982	4.49598700
29.55999982	4.40717800
29.59999982	4.31867400
29.63999982	4.31867400
29.67999982	4.22986600
29.71999982	4.14136200
29.75999982	4.14136200
29.79999982	4.14136200
29.83999982	4.05255300
29.87999982	4.05255300
29.91999982	4.05255300
29.95999982	3.96404900
29.99999982	3.96404900
30.03999982	3.87524000
30.07999982	3.87524000
30.11999982	3.87524000
30.15999982	3.78673700
30.19999982	3.78673700
30.23999982	3.78673700
30.27999982	3.69792800
30.31999982	3.69792800
30.35999982	3.69792800
30.39999982	3.69792800
30.43999982	3.60942400
30.47999981	3.60942400
30.51999981	3.60942400
30.55999981	3.52061500
30.59999981	3.52061500
30.63999981	3.52061500
30.67999981	3.52061500
30.71999981	3.52061500
30.75999981	3.43211200
30.79999981	3.43211200
30.83999981	3.43211200
30.87999981	3.43211200
30.91999981	3.43211200
30.95999981	3.43211200
30.99999981	3.43211200
31.03999981	3.43211200
31.07999981	3.43211200
31.11999981	3.43211200
31.15999981	3.43211200
31.19999981	3.34330300
31.23999981	3.43211200
31.27999981	3.43211200
31.31999981	3.34330300
31.35999981	3.43211200
31.39999981	3.34330300
31.43999981	3.34330300
31.47999981	3.34330300
31.51999981	3.34330300
31.55999981	3.34330300
31.59999981	3.34330300
31.63999981	3.34330300
31.67999981	3.25479900
31.71999981	3.34330300
31.75999981	3.25479900
31.79999981	3.25479900
31.83999981	3.16599000
31.87999981	3.25479900
31.91999981	3.25479900
31.95999981	3.16599000
31.99999981	3.16599000
32.03999981	3.16599000
32.07999981	3.16599000
32.11999980	3.16599000
32.15999980	3.16599000
32.19999980	3.16599000
32.23999980	3.07718100
32.27999980	3.16599000
32.31999980	3.07718100
32.35999980	3.07718100
32.39999980	3.07718100
32.43999980	3.07718100
32.47999980	2.98867800
32.51999980	2.98867800
32.55999980	2.98867800
32.59999980	2.98867800
32.63999980	2.98867800
32.67999980	2.98867800
32.71999980	2.89986900
32.75999980	2.89986900
32.79999980	2.89986900
32.83999980	2.89986900
32.87999980	2.81136500
32.91999980	2.81136500
32.95999980	2.81136500
32.99999980	2.81136500
33.03999980	2.81136500
33.07999980	2.72255600
33.11999980	2.72255600
33.15999980	2.72255600
33.19999980	2.72255600
33.23999980	2.63405300
33.27999980	2.63405300
33.31999980	2.63405300
33.35999980	2.54524400
33.39999980	2.54524400
33.43999980	2.45674000
33.47999980	2.45674000
33.51999980	2.45674000
33.55999980	2.45674000
33.59999980	2.36793100
33.63999980	2.36793100
33.67999980	2.36793100
33.71999980	2.36793100
33.75999979	2.27942800
33.79999979	2.27942800
33.83999979	2.27942800
33.87999979	2.27942800
33.91999979	2.27942800
33.95999979	2.19061900
33.99999979	2.19061900
34.03999979	2.10211500
34.07999979	2.10211500
34.11999979	2.10211500
34.15999979	2.10211500
34.19999979	2.01330600
34.23999979	2.10211500
34.27999979	2.01330600
34.31999979	2.01330600
34.35999979	1.92480200
34.39999979	1.92480200
34.43999979	1.92480200
34.47999979	1.92480200
34.51999979	1.92480200
34.55999979	1.92480200
34.59999979	1.83599400
34.63999979	1.83599400
34.67999979	1.74749000
34.71999979	1.74749000
34.75999979	1.74749000
34.79999979	1.74749000
34.83999979	1.65868100
34.87999979	1.65868100
34.91999979	1.65868100
34.95999979	1.65868100
34.99999979	1.65868100
35.03999979	1.65868100
35.07999979	1.57017700
35.11999979	1.57017700
35.15999979	1.57017700
35.19999979	1.57017700
35.23999979	1.57017700
35.27999979	1.48136800
35.31999979	1.48136800
35.35999979	1.39286500
35.39999978	1.39286500
35.43999978	1.39286500
35.47999978	1.39286500
35.51999978	1.39286500
35.55999978	1.30405600
35.59999978	1.30405600
35.63999978	1.30405600
35.67999978	1.30405600
35.71999978	1.30405600
35.75999978	1.21555200
35.79999978	1.21555200
35.83999978	1.21555200
35.87999978	1.21555200
35.91999978	1.21555200
35.95999978	1.21555200
35.99999978	1.12674300
36.03999978	1.12674300
36.07999978	1.12674300
36.11999978	1.12674300
36.15999978	1.03824000
36.19999978	1.03824000
36.23999978	1.03824000
36.27999978	1.03824000
36.31999978	1.03824000
36.35999978	1.03824000
36.39999978	0.94943080
36.43999978	0.94943080
36.47999978	0.94943080
36.51999978	0.86092720
36.55999978	0.86092720
36.59999978	0.86092720
36.63999978	0.86092720
36.67999978	0.86092720
36.71999978	0.86092720
36.75999978	0.86092720
36.79999978	0.86092720
36.83999978	0.86092720
36.87999978	0.77211830
36.91999978	0.77211830
36.95999978	0.77211830
36.99999978	0.68361460
37.03999977	0.68361460
37.07999977	0.68361460
37.11999977	0.68361460
37.15999977	0.68361460
37.19999977	0.59480580
37.23999977	0.68361460
37.27999977	0.59480580
37.31999977	0.59480580
37.35999977	0.59480580
37.39999977	0.59480580
37.43999977	0.50630210
37.47999977	0.50630210
37.51999977	0.50630210
37.55999977	0.50630210
37.59999977	0.50630210
37.63999977	0.50630210
37.67999977	0.50630210
37.71999977	0.50630210
37.75999977	0.41749320
